               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13351,            0.024782,                   0,                   0,                   0,                   0,                   0,             0.12971,            0.031552,                   0,               2e-05,               2e-05,             0.09982
                   1,              0.1298,            0.027515,                   0,                   0,                   0,                   0,                   0,              0.1271,            0.033177,                   0,               5e-05,               5e-05,             0.09955
                   2,            0.098087,            0.026327,                   0,                   0,                   0,                   0,                   0,             0.12334,            0.035784,                   0,          7.9999e-05,          7.9999e-05,             0.09928
                   3,            0.096557,            0.027922,                   0,                   0,                   0,                   0,                   0,             0.12071,            0.037571,                   0,             0.00011,             0.00011,             0.09901
                   4,             0.12282,            0.029036,                   0,                   0,                   0,                   0,                   0,             0.11967,            0.037961,                   0,             0.00014,             0.00014,             0.09874
                   5,             0.12034,            0.031251,                   0,          3.7879e-05,           0.0018116,          1.9038e-05,          1.9038e-06,             0.11994,            0.037757,                   0,          0.00016999,          0.00016999,             0.09847
                   6,             0.12223,            0.030816,                   0,                   0,                   0,                   0,                   0,              0.1202,            0.037549,                   0,          0.00019998,          0.00019998,              0.0982
                   7,             0.12334,            0.030197,                   0,                   0,                   0,                   0,                   0,             0.12005,            0.037448,                   0,          0.00022997,          0.00022997,             0.09793
                   8,             0.12213,            0.030954,                   0,                   0,                   0,                   0,                   0,             0.12053,            0.037325,                   0,          0.00025996,          0.00025996,             0.09766
                   9,             0.12124,            0.030819,                   0,                   0,                   0,                   0,                   0,              0.1206,            0.037229,                   0,          0.00028995,          0.00028995,             0.09739
                  10,             0.11961,            0.031225,                   0,                   0,                   0,                   0,                   0,             0.11973,            0.037158,                   0,          0.00031993,          0.00031993,             0.09712
                  11,             0.11879,            0.029501,                   0,          6.2096e-05,           0.0018116,          2.1173e-05,          2.1173e-06,             0.11962,            0.036992,                   0,          0.00034991,          0.00034991,             0.09685
                  12,             0.12204,            0.031103,                   0,                   0,                   0,                   0,                   0,             0.11934,             0.03685,                   0,          0.00037988,          0.00037988,             0.09658
                  13,              0.1047,            0.029822,                   0,                   0,                   0,                   0,                   0,             0.11966,            0.036712,                   0,          0.00040985,          0.00040985,             0.09631
                  14,             0.12213,            0.029265,                   0,                   0,                   0,                   0,                   0,                0.12,            0.036585,                   0,          0.00043981,          0.00043981,             0.09604
